CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,POPULATION,CNTY_CITY_LOC,BEAT_TYPE,CHP_BEAT_TYPE,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION
9047565,2020,20200309,3801,20200124,1045,2151,BAYVI,5,7,3801,0,0,WOOLSEY ST,SAN BRUNO AV,0,W,N
9047567,2020,20200902,3801,20200129,2142,1378,BAYVI,3,7,3801,0,0,NEWHALL ST,INNES AV,0,S,N
9047568,2020,20200306,3801,20200118,1856,2407,NORTH,6,7,3801,0,0,FRANKLIN ST,EDDY ST,0,N,N
9047570,2020,20200306,3801,20200115,1610,2450,INGLE,3,7,3801,0,0,MISSION ST,PERSIA AV,0,N,N
9047574,2020,20200306,3801,20200113,0618,4331,SOUTH,1,7,3801,0,0,MISSION ST,3RD ST,0,W,N
9047577,2020,20200306,3801,20200118,1541,2020,SOUTH,6,7,3801,0,0,6TH ST,FOLSOM ST,0,S,N
90475786,2017,20170612,9834,20170604,0825,019916,Color,7,9,3600,1,3,PARKER DAM RD,SR-62,0,E,N
9047581,2020,20200309,3801,20200118,1217,86,TARA,6,7,3801,0,0,32ND AV,MORAGA ST,0,S,N
9047583,2020,20200306,3801,20200121,1311,359,CENTR,2,7,3801,0,0,MONTGOMERY ST,SUTTER ST,0,S,N
9047585,2020,20200306,3801,20200118,0953,142,BAYVI,6,7,3801,0,0,PALOU AV,PALOU AV 1743,0,E,N
9047586,2020,20200319,3801,20200125,2023,4124,INGLE,6,7,3801,0,0,OCEAN AV,RT 280,0,W,N
9047587,2020,20200306,3801,20200121,0015,1045,BAYV,2,7,3801,0,0,FELTON ST,PRINCETON ST,0,E,N
9047589,2020,20200306,3801,20200117,1825,4314,RICHM,5,7,3801,0,0,LAKE ST,4TH AV,0,W,N
9047592,2020,20200306,3801,20200115,1902,209,NORTH,3,7,3801,0,0,LAGUNA,OAK ST,0,S,N
90475933,2017,20170612,9825,20170604,2205,021400,Bisho,7,9,1400,2,4,PA-HA LN,UNITED STATES HIGHWAY 395,0,S,N
9047595,2020,20200306,3801,20200120,2055,203,MISSI,1,7,3801,0,0,23RD ST,CHURCH ST,0,E,N
9047598,2020,20200306,3801,20200125,1105,1538,TENDE,6,7,3801,0,0,5TH ST,STEVENSON ST,0,S,N
9047607,2020,20200306,3801,20200123,0025,158,INGLE,4,7,3801,0,0,CAYUGA AV,GENEVA AV,0,N,N
9047612,2020,20200306,3801,20200106,1401,4283,RICHM,1,7,3801,0,0,GEARY BL,28TH AV,0,E,N
9047613,2020,20200306,3801,20200114,1450,1052,RICHM,2,7,3801,0,0,ANZA ST,ARGUELLO BL,0,E,N
